std_dev,rms,min_val,max_val,zero_crossings,mean_amp_change,amp_first_pulse,mean_abs_val,waveform_length,wilson_amp,label
0.015556943,0.018109892,-0.046875,0.054688,69,0.016673819,0.015625,0.014270947,2.484399,0.018109892,index_finger
0.013309421,0.016585228,-0.046875,0.03125,68,0.014995953,0.0078125,0.01354176,2.234397,0.016585228,index_finger
0.014914148,0.018132315,-0.070313,0.070313,67,0.015834866,0,0.013958413,2.359395,0.018132315,index_finger
0.012375336,0.015780587,-0.054688,0.03125,69,0.013842386,0.023438,0.01250007,2.0625155,0.015780587,index_finger
0.014190205,0.017270294,-0.0625,0.03125,73,0.015467832,0.015625,0.013177177,2.304707,0.017270294,index_finger
0.015092511,0.018076132,-0.0625,0.039063,73,0.017302987,0.015625,0.014427177,2.578145,0.018076132,index_finger
0.01375536,0.017223115,-0.054688,0.039063,68,0.015205681,0.023438,0.013802167,2.2656465,0.017223115,index_finger
0.014697289,0.017689297,-0.0625,0.046875,65,0.015782416,0.015625,0.013906333,2.35158,0.017689297,index_finger
0.014225626,0.016756069,-0.046875,0.085938,79,0.01494349,0.023438,0.011770903,2.22658,0.016756069,index_finger
0.011918426,0.01562513,-0.039063,0.015625,75,0.014314309,0.023438,0.012083413,2.132832,0.01562513,index_finger
0.012168106,0.015586002,-0.046875,0.023438,71,0.012374258,0.023438,0.01213549,1.8437645,0.015586002,index_finger
0.015503188,0.018476867,-0.046875,0.046875,73,0.016726211,0.0078125,0.014114673,2.4922055,0.018476867,index_finger
0.012856988,0.016288148,-0.046875,0.03125,71,0.014104581,0.0078125,0.012604253,2.1015825,0.016288148,index_finger
0.01186101,0.015216085,-0.039063,0.015625,65,0.013108302,0.03125,0.012552133,1.953137,0.015216085,index_finger
0.012506166,0.015883403,-0.039063,0.03125,71,0.013842389,0.015625,0.01312508,2.062516,0.015883403,index_finger
0.012415719,0.015715993,-0.039063,0.039063,77,0.014786181,0.0078125,0.012447987,2.203141,0.015715993,index_finger
0.014014413,0.017246732,-0.054688,0.03125,72,0.016044617,0,0.013593843,2.390648,0.017246732,index_finger
0.01464144,0.017527522,-0.0625,0.046875,67,0.015520248,0,0.013593823,2.312517,0.017527522,index_finger
0.011435208,0.01498709,-0.039063,0.023438,75,0.012846154,0.015625,0.011979237,1.914077,0.01498709,index_finger
0.013033865,0.01593457,-0.046875,0.023438,84,0.015467846,0.023438,0.012604253,2.304709,0.01593457,index_finger
0.01318409,0.016238098,-0.054688,0.039063,77,0.015467822,0.03125,0.012500067,2.3047055,0.016238098,index_finger
